"id","cond","y","x"
4,"C",-0.652799008477438,-0.763268163314952
4,"A",0.704843828867462,-0.763268163314952
4,"B",-0.00758848665265408,-0.763268163314952
4,"C",0.0260063135968739,-0.763268163314952
4,"A",-0.783523498945064,-0.763268163314952
4,"B",-0.793692057056121,-0.763268163314952
4,"C",NA,-0.763268163314952
4,"A",-0.238970218810875,-0.763268163314952
4,"B",-0.478822365410067,-0.763268163314952
4,"C",0.464429470237996,-0.763268163314952
5,"A",-0.121210649965907,-0.949351189161563
5,"B",-0.0660160421445428,-0.949351189161563
5,"C",-1.14101553928706,-0.949351189161563
5,"A",-0.613578595400513,-0.949351189161563
5,"B",NA,-0.949351189161563
5,"C",0.289704470647252,-0.949351189161563
5,"A",-1.32360804074332,-0.949351189161563
5,"B",-0.338561080409193,-0.949351189161563
5,"C",NA,-0.949351189161563
5,"A",-0.511442374099926,-0.949351189161563
5,"B",1.52056869677194,-0.949351189161563
5,"C",-0.672000917953353,-0.949351189161563
5,"A",-0.714083164067289,-0.949351189161563
5,"B",-0.183818145407192,-0.949351189161563
5,"C",-0.911274629548114,-0.949351189161563
6,"A",0.815282492020767,-0.871614837789971
6,"B",0.0304607994038367,-0.871614837789971
6,"C",-0.370730923970686,-0.871614837789971
6,"A",0.0417669289824381,-0.871614837789971
6,"B",NA,-0.871614837789971
6,"C",-0.53583002018856,-0.871614837789971
6,"A",-0.947208869862877,-0.871614837789971
6,"B",0.851253704004137,-0.871614837789971
6,"C",0.0965487747029347,-0.871614837789971
6,"A",-0.771765625968019,-0.871614837789971
6,"B",NA,-0.871614837789971
6,"C",-0.765774951571401,-0.871614837789971
6,"A",0.140151835823626,-0.871614837789971
6,"B",-0.144851601484215,-0.871614837789971
6,"C",-0.462722398393202,-0.871614837789971
7,"A",NA,1.7154500600688
7,"B",0.0552537675346408,1.7154500600688
7,"C",1.08432449284253,1.7154500600688
7,"A",NA,1.7154500600688
7,"B",0.386795125952748,1.7154500600688
7,"C",1.64058583520836,1.7154500600688
7,"A",-0.350569457410969,1.7154500600688
7,"B",1.96702724557294,1.7154500600688
7,"C",NA,1.7154500600688
7,"A",NA,1.7154500600688
7,"B",NA,1.7154500600688
7,"C",NA,1.7154500600688
7,"A",1.20628375014938,1.7154500600688
7,"B",0.892177771439252,1.7154500600688
7,"C",0.701808411981503,1.7154500600688
8,"A",0.179522604356948,-1.87230400363617
8,"B",-2.49178333161188,-1.87230400363617
8,"C",-1.71172088546956,-1.87230400363617
8,"A",NA,-1.87230400363617
8,"B",-1.65210591183655,-1.87230400363617
8,"C",0.0959666177205953,-1.87230400363617
8,"A",-0.845498021482427,-1.87230400363617
8,"B",0.157556457802092,-1.87230400363617
8,"C",-0.986303636397345,-1.87230400363617
8,"A",-1.97015988906919,-1.87230400363617
8,"B",-0.557314474469652,-1.87230400363617
8,"C",-2.07975712251845,-1.87230400363617
8,"A",NA,-1.87230400363617
8,"B",0.0303356577780693,-1.87230400363617
8,"C",NA,-1.87230400363617
9,"A",2.00564861242923,2.07741899871322
9,"B",2.43527104175688,2.07741899871322
9,"C",0.779691897645856,2.07741899871322
9,"A",1.81829285856351,2.07741899871322
9,"B",2.79620308921936,2.07741899871322
9,"C",NA,2.07741899871322
9,"A",1.97178592736357,2.07741899871322
9,"B",0.708569976300602,2.07741899871322
9,"C",NA,2.07741899871322
9,"A",1.13657687226971,2.07741899871322
9,"B",2.37702306868805,2.07741899871322
9,"C",1.09915536694038,2.07741899871322
9,"A",1.63108304724631,2.07741899871322
9,"B",0.87260831974763,2.07741899871322
9,"C",-0.14313716663433,2.07741899871322
10,"A",0.466942018675613,0.0755720582903329
10,"B",0.508991603222569,0.0755720582903329
10,"C",0.618436395010249,0.0755720582903329
10,"A",0.513812146302238,0.0755720582903329
10,"B",NA,0.0755720582903329
10,"C",-0.585906157797061,0.0755720582903329
10,"A",0.427864687308476,0.0755720582903329
10,"B",0.917104061640814,0.0755720582903329
10,"C",NA,0.0755720582903329
10,"A",-0.117708691318554,0.0755720582903329
10,"B",-0.213517624508148,0.0755720582903329
10,"C",0.443622615545393,0.0755720582903329
10,"A",0.38340993821997,0.0755720582903329
10,"B",0.53181862322333,0.0755720582903329
10,"C",1.58828708661095,0.0755720582903329
11,"A",-0.395089016598252,0.663360710125165
11,"B",0.512560543021153,0.663360710125165
11,"C",0.660757345929205,0.663360710125165
11,"A",-0.317701327600019,0.663360710125165
11,"B",0.424015871500178,0.663360710125165
11,"C",-0.414208563145172,0.663360710125165
11,"A",1.6561946373421,0.663360710125165
11,"B",0.449728741172938,0.663360710125165
11,"C",0.781035846304295,0.663360710125165
11,"A",1.90777034527995,0.663360710125165
11,"B",1.21045849260662,0.663360710125165
11,"C",0.0332415071745251,0.663360710125165
11,"A",0.971122975436307,0.663360710125165
11,"B",0.877578502455311,0.663360710125165
11,"C",0.157946860389699,0.663360710125165
12,"A",-1.37780926456179,0.291652178450441
12,"B",1.63273194617911,0.291652178450441
12,"C",NA,0.291652178450441
12,"A",-0.158926768566252,0.291652178450441
12,"B",0.14478209814026,0.291652178450441
12,"C",-0.530572474889541,0.291652178450441
12,"A",NA,0.291652178450441
12,"B",0.436336797216804,0.291652178450441
12,"C",-0.984942692267736,0.291652178450441
12,"A",-0.00601052329615439,0.291652178450441
12,"B",NA,0.291652178450441
12,"C",-0.00494359340211721,0.291652178450441
12,"A",NA,0.291652178450441
12,"B",1.00559025137317,0.291652178450441
12,"C",-0.492463432865739,0.291652178450441
13,"A",1.31521239768873,0.389761139583747
13,"B",2.29503989614593,0.389761139583747
13,"C",NA,0.389761139583747
13,"A",1.41225440940431,0.389761139583747
13,"B",0.788647909718474,0.389761139583747
13,"C",1.16271752089458,0.389761139583747
13,"A",-0.487528702858688,0.389761139583747
13,"B",0.33387421989757,0.389761139583747
13,"C",0.877272105760855,0.389761139583747
13,"A",NA,0.389761139583747
13,"B",1.93908336408518,0.389761139583747
13,"C",NA,0.389761139583747
13,"A",1.5948125903362,0.389761139583747
13,"B",2.14432582329294,0.389761139583747
13,"C",1.57251481572747,0.389761139583747
14,"A",1.44624754253243,0.95285467420371
14,"B",1.52855433917519,0.95285467420371
14,"C",-0.64766883465965,0.95285467420371
14,"A",NA,0.95285467420371
14,"B",0.456894971766051,0.95285467420371
14,"C",1.94207356672845,0.95285467420371
14,"A",0.885304832351383,0.95285467420371
14,"B",0.800093725767759,0.95285467420371
14,"C",0.264924205400107,0.95285467420371
14,"A",0.334868585677272,0.95285467420371
14,"B",1.64719178326217,0.95285467420371
14,"C",NA,0.95285467420371
14,"A",1.76133177032365,0.95285467420371
14,"B",0.0468508405668759,0.95285467420371
14,"C",0.681133501168871,0.95285467420371
15,"A",-0.313107961277186,2.40778142392372
15,"B",1.84820170209746,2.40778142392372
15,"C",0.269592916627039,2.40778142392372
15,"A",0.789906313903766,2.40778142392372
15,"B",0.289526982124526,2.40778142392372
15,"C",1.71463193584195,2.40778142392372
15,"A",1.03015175575473,2.40778142392372
15,"B",1.78509612879589,2.40778142392372
15,"C",0.718607711772327,2.40778142392372
15,"A",0.469364497241826,2.40778142392372
15,"B",0.617637306907809,2.40778142392372
15,"C",0.739328207194371,2.40778142392372
15,"A",1.08215902467793,2.40778142392372
15,"B",-0.0667898121389417,2.40778142392372
15,"C",0.523319316271434,2.40778142392372
16,"A",-1.76139273371165,-0.773459441778661
16,"B",NA,-0.773459441778661
16,"C",NA,-0.773459441778661
16,"A",-0.911490089964323,-0.773459441778661
16,"B",NA,-0.773459441778661
16,"C",-0.951114182712564,-0.773459441778661
16,"A",-0.356594778164605,-0.773459441778661
16,"B",-0.377490790533783,-0.773459441778661
16,"C",-0.842634713801591,-0.773459441778661
16,"A",-1.91290210594653,-0.773459441778661
16,"B",0.522436485310082,-0.773459441778661
16,"C",0.569796438851361,-0.773459441778661
16,"A",-0.0574360911231412,-0.773459441778661
16,"B",-0.766800539355979,-0.773459441778661
16,"C",-0.584561606498757,-0.773459441778661
17,"A",0.392221979015343,2.39075391971816
17,"B",1.92354110951542,2.39075391971816
17,"C",1.00830365155105,2.39075391971816
17,"A",0.564772411653682,2.39075391971816
17,"B",1.60522672308731,2.39075391971816
17,"C",1.86139071888888,2.39075391971816
17,"A",2.26430929675787,2.39075391971816
17,"B",1.63504890036636,2.39075391971816
17,"C",2.33225796311266,2.39075391971816
17,"A",2.15296037673997,2.39075391971816
17,"B",1.44313485004027,2.39075391971816
17,"C",0.455214281692731,2.39075391971816
17,"A",0.543923378685064,2.39075391971816
17,"B",2.52084077347652,2.39075391971816
17,"C",1.8138247763652,2.39075391971816
18,"A",-0.590243585663173,-0.328360951570922
18,"B",-0.960760455181157,-0.328360951570922
18,"C",NA,-0.328360951570922
18,"A",NA,-0.328360951570922
18,"B",0.346725077958384,-0.328360951570922
18,"C",NA,-0.328360951570922
18,"A",0.19333835924653,-0.328360951570922
18,"B",NA,-0.328360951570922
18,"C",0.232335459825776,-0.328360951570922
18,"A",-0.719635911839878,-0.328360951570922
18,"B",0.136743015010644,-0.328360951570922
18,"C",0.971506538300091,-0.328360951570922
18,"A",NA,-0.328360951570922
18,"B",NA,-0.328360951570922
18,"C",0.713296378165154,-0.328360951570922
19,"A",-1.22252963315366,-0.343080120134938
19,"B",0.0824309824601924,-0.343080120134938
19,"C",1.21036226911724,-0.343080120134938
19,"A",NA,-0.343080120134938
19,"B",-0.514219021160006,-0.343080120134938
19,"C",NA,-0.343080120134938
19,"A",0.438988951693358,-0.343080120134938
19,"B",-0.177901752092011,-0.343080120134938
19,"C",NA,-0.343080120134938
19,"A",-1.14908497281408,-0.343080120134938
19,"B",0.712475964949591,-0.343080120134938
19,"C",0.466130972479088,-0.343080120134938
19,"A",-1.36518411502388,-0.343080120134938
19,"B",-0.860444911387327,-0.343080120134938
19,"C",NA,-0.343080120134938
20,"A",-2.89169413999919,-2.05500090472332
20,"B",NA,-2.05500090472332
20,"C",-3.12972263470383,-2.05500090472332
20,"A",-2.81426118617186,-2.05500090472332
20,"B",NA,-2.05500090472332
20,"C",-3.60853648705734,-2.05500090472332
20,"A",NA,-2.05500090472332
20,"B",-1.61600440499394,-2.05500090472332
20,"C",-1.82515491506683,-2.05500090472332
20,"A",-3.09040388563219,-2.05500090472332
20,"B",-0.978847503574767,-2.05500090472332
20,"C",-2.45193312295314,-2.05500090472332
20,"A",-3.4877559898816,-2.05500090472332
20,"B",-2.34281197348835,-2.05500090472332
20,"C",-3.29775265484302,-2.05500090472332
